date,total_calls,dayofweek,month,is_weekend,is_holiday,lag1,rolling7_mean,rolling7_std
2024-11-20,13418,2,11,False,False,13855.0,10691.285714285714,2405.3975218444134
2024-11-21,9811,3,11,False,False,13418.0,10573.857142857143,2428.66914369245
2024-11-22,10376,4,11,False,False,9811.0,10720.714285714286,2372.6235629422085
2024-11-23,8571,5,11,True,False,10376.0,10792.285714285714,2285.2856651693637
2024-11-24,8513,6,11,True,False,8571.0,10878.857142857143,2166.140610130643
2024-11-25,9922,0,11,False,False,8513.0,10638.0,2165.2879716102448
2024-11-26,8610,1,11,False,False,9922.0,9888.714285714286,1730.3430983753585
2024-11-27,8325,2,11,False,False,8610.0,9161.142857142857,841.461710075865
2024-11-28,6416,3,11,False,True,8325.0,8676.142857142857,1272.482276048326
2024-11-29,8682,4,11,False,False,6416.0,8434.142857142857,1034.0727615552298
2024-11-30,8566,5,11,True,False,8682.0,8433.42857142857,1033.964192987811
2024-12-01,9398,6,12,True,False,8566.0,8559.857142857143,1097.4720085377094
2024-12-02,11012,0,12,False,False,9398.0,8715.57142857143,1367.1449395416248
2024-12-03,10839,1,12,False,False,11012.0,9034.0,1581.2725887714594
2024-12-04,10509,2,12,False,False,10839.0,9346.0,1632.6907239278348
2024-12-05,10400,3,12,False,False,10509.0,9915.142857142857,1020.835022350404
2024-12-06,10252,4,12,False,False,10400.0,10139.42857142857,865.3831246222471
2024-12-07,8354,5,12,True,False,10252.0,10109.142857142857,930.8584619535276
2024-12-08,7989,6,12,True,False,8354.0,9907.857142857143,1218.2401827460583
2024-12-09,8666,0,12,False,False,7989.0,9572.714285714286,1186.1342973831297
2024-12-10,8883,1,12,False,False,8666.0,9293.285714285714,1062.006860349106
2024-12-11,8766,2,12,False,False,8883.0,9044.285714285714,924.9516589684894
2024-12-12,10891,3,12,False,False,8766.0,9114.42857142857,1054.4481743456824
2024-12-13,10613,4,12,False,False,10891.0,9166.0,1125.7735118575101
2024-12-14,9204,5,12,True,False,10613.0,9287.42857142857,1067.9483222738882
2024-12-15,9655,6,12,True,False,9204.0,9525.42857142857,903.3055697719074
2024-12-16,14216,0,12,False,False,9655.0,10318.285714285714,1904.3043974363054
2024-12-17,12877,1,12,False,False,14216.0,10888.857142857143,1998.5979609525855
2024-12-18,8815,2,12,False,False,12877.0,10895.857142857143,1989.9908231422824
2024-12-19,8980,3,12,False,False,8815.0,10622.857142857143,2117.7489171737275
2024-12-20,9157,4,12,False,False,8980.0,10414.857142857143,2189.1762094885125
2024-12-21,8002,5,12,True,False,9157.0,10243.142857142857,2341.8033954320663
2024-12-22,11168,6,12,True,False,8002.0,10459.285714285714,2348.286021355843
2024-12-23,12317,0,12,False,False,11168.0,10188.0,1910.9208949264955
2024-12-24,8359,1,12,False,False,12317.0,9542.57142857143,1586.8304737371761
2024-12-25,6291,2,12,False,True,8359.0,9182.0,2010.0356547418069
2024-12-26,8375,3,12,False,False,6291.0,9095.57142857143,2033.0443393379976
2024-12-27,8139,4,12,False,False,8375.0,8950.142857142857,2064.0907948837416
2024-12-28,7407,5,12,True,False,8139.0,8865.142857142857,2121.1068202372853
2024-12-29,10938,6,12,True,False,7407.0,8832.285714285714,2080.8889698304156
2024-12-30,11131,0,12,False,False,10938.0,8662.857142857143,1775.786438789996
2024-12-31,11338,1,12,False,False,11131.0,9088.42857142857,2029.6464271019247
2025-01-01,10686,2,1,False,True,11338.0,9716.285714285714,1667.5322799759856
2025-01-02,13401,3,1,False,False,10686.0,10434.285714285714,2035.2472179308486
2025-01-03,11297,4,1,False,False,13401.0,10885.42857142857,1775.0407372924292
2025-01-04,11247,5,1,True,False,11297.0,11434.0,897.1595918973264
2025-01-05,13314,6,1,True,False,11247.0,11773.42857142857,1103.8775380664604
2025-01-06,13790,0,1,False,False,13314.0,12153.285714285714,1288.09157468014
2025-01-07,14578,1,1,False,False,13790.0,12616.142857142857,1509.413288728618
2025-01-08,12885,2,1,False,False,14578.0,12930.285714285714,1246.729282868569
2025-01-09,14475,3,1,False,False,12885.0,13083.714285714286,1373.9111706227513
2025-01-10,13826,4,1,False,False,14475.0,13445.0,1138.0348559395766
2025-01-11,11162,5,1,True,False,13826.0,13432.857142857143,1165.5179719151577
2025-01-12,11453,6,1,True,False,11162.0,13167.0,1388.1366407286457
2025-01-13,12656,0,1,False,False,11453.0,13005.0,1369.3565398877706
2025-01-14,9676,1,1,False,False,12656.0,12304.714285714286,1654.5863243608567
2025-01-15,9676,2,1,False,False,9676.0,11846.285714285714,1894.2124761393493
2025-01-16,9809,3,1,False,False,9676.0,11179.714285714286,1615.4678078176898
2025-01-17,8992,4,1,False,False,9809.0,10489.142857142857,1297.6556333855265
2025-01-18,7649,5,1,True,False,8992.0,9987.285714285714,1630.649739039202
2025-01-19,7480,6,1,True,False,7649.0,9419.714285714286,1724.2057798965334
2025-01-20,8968,0,1,False,True,7480.0,8892.857142857143,968.2255984654855
